ID,Date,Source,Message,Département,Anonymisé
426,2024-05-22,Email,Myself test about.,RH,Oui
427,2024-10-12,Email,So traditional realize kitchen town technology.,IT,Oui
428,2025-01-13,Teams,Some listen official entire dinner under.,RH,Oui
429,2024-06-10,Email,Crime character black.,Production,Oui
430,2025-01-27,Teams,Include generation sort appear growth general myself.,Marketing,Oui
431,2025-01-30,Slack,Bill voice would activity area drop face.,Production,Oui
432,2024-12-01,Email,Will yet appear whether yet its.,Finance,Oui
433,2024-12-13,Slack,Bring she good table inside everything game.,IT,Oui
434,2024-09-13,Email,Simply film particular off past other Republican.,IT,Oui
435,2024-08-03,Email,Claim democratic individual happy watch.,Marketing,Oui
436,2024-07-22,Teams,While common team important professional audience.,Production,Oui
437,2024-06-22,Teams,Single loss night.,Production,Oui
438,2024-12-24,Slack,Million break move season main.,Marketing,Oui
439,2024-03-08,Teams,Movie successful either plant.,Production,Oui
440,2024-03-05,Email,Run single smile certain investment face war necessary.,IT,Oui
441,2025-02-08,Email,Property six thousand make push.,Ventes,Oui
442,2024-08-09,Email,Third attention teach organization manage.,Production,Oui
443,2024-04-12,Slack,Fish keep religious long senior pass.,Finance,Oui
444,2024-10-07,Slack,Family would some.,Finance,Oui
445,2024-11-06,Email,Wall training far last assume human discussion.,Marketing,Oui
446,2024-07-07,Teams,Section investment glass partner analysis.,Marketing,Oui
447,2024-11-10,Teams,Resource agency throughout network form yet.,Marketing,Oui
448,2024-03-09,Teams,President eye claim coach walk data.,Ventes,Oui
449,2024-10-23,Slack,Sell bad side quite quickly call.,Finance,Oui
450,2024-06-28,Email,Consider spring ago step quickly mention.,RH,Oui
451,2024-08-20,Slack,Budget sometimes nearly according decade.,IT,Oui
452,2024-07-21,Slack,Computer small suffer data.,Ventes,Oui
453,2024-03-16,Email,Trade see three recent affect raise.,Marketing,Oui
454,2024-12-20,Slack,What fight enter majority.,IT,Oui
455,2024-10-19,Slack,Rest single administration economic will might message.,Finance,Oui
456,2024-04-12,Slack,Across meeting address skin she.,Ventes,Oui
457,2024-09-13,Email,Part create a along argue.,Finance,Oui
458,2024-11-23,Teams,Relate tree stock add that relationship bank history.,Finance,Oui
459,2024-05-17,Email,However minute such listen hundred around soon.,RH,Oui
460,2024-08-11,Email,Myself southern nor among.,Ventes,Oui
461,2024-08-08,Teams,Fall project discover training cut first.,Finance,Oui
462,2024-10-15,Slack,Yard rather few few not should.,Marketing,Oui
463,2025-02-03,Teams,Movement return political them issue.,IT,Oui
464,2024-03-10,Slack,Make citizen society present quite animal beyond.,Ventes,Oui
465,2024-05-30,Slack,Which really body new would tree everything change.,Production,Oui
466,2025-02-17,Teams,Allow note need easy information continue fill.,Ventes,Oui
467,2024-06-22,Email,Tend hundred establish.,Production,Oui
468,2025-01-23,Email,Break dog agreement check foreign real sure.,Marketing,Oui
469,2024-03-21,Teams,Fine with ever interest resource.,Production,Oui
470,2024-03-13,Email,Here rate spring discuss someone.,Marketing,Oui
471,2024-11-16,Email,Somebody candidate forget.,Marketing,Oui
472,2024-06-26,Email,Join poor already ready into media.,Marketing,Oui
473,2024-12-04,Email,Education movement million local.,Production,Oui
474,2024-06-04,Email,Decade truth strategy especially black.,IT,Oui
475,2024-06-19,Email,Almost allow window lay town quite.,Ventes,Oui
476,2024-09-14,Slack,As it own day firm.,Marketing,Oui
477,2024-08-24,Slack,Gun parent cause personal.,Production,Oui
478,2024-04-12,Slack,Share environment avoid phone space.,Ventes,Oui
479,2024-05-17,Slack,Either method thing doctor it many.,Marketing,Oui
480,2024-12-11,Teams,Assume member down five.,IT,Oui
481,2024-08-19,Slack,Consumer person chance realize what interesting do.,Marketing,Oui
482,2024-09-17,Teams,Include decide include company story able.,IT,Oui
483,2024-04-27,Slack,Business around southern just his entire care.,Finance,Oui
484,2024-09-14,Email,Lot fire maybe try technology fly.,Marketing,Oui
485,2025-01-30,Email,Near control prevent interesting.,Marketing,Oui
486,2024-12-28,Email,Increase matter painting produce.,IT,Oui
487,2025-01-18,Email,Your wonder great when.,Finance,Oui
488,2024-03-10,Teams,Really road morning.,RH,Oui
489,2024-06-30,Teams,Growth action area population discuss rock.,Production,Oui
490,2024-10-23,Email,Among couple attack once avoid nation.,IT,Oui
491,2024-05-25,Email,Wrong walk TV.,Production,Oui
492,2024-12-24,Teams,Play present arrive include.,Finance,Oui
493,2024-06-14,Email,Fund already one price good different.,RH,Oui
494,2025-01-06,Slack,Operation subject she.,Finance,Oui
495,2024-10-20,Teams,Democratic art national night sea center radio.,Ventes,Oui
496,2024-10-10,Slack,Minute budget quickly then technology teacher industry onto.,RH,Oui
497,2024-06-21,Email,Door watch return carry now.,Finance,Oui
498,2024-09-23,Slack,List design training marriage world nothing opportunity.,Production,Oui
499,2024-07-30,Teams,Pull another throw we behavior across break.,RH,Oui
500,2024-03-06,Email,Wonder ground along true five charge.,Ventes,Oui
